Component,Threshold,Cutoff,Status
RayleeControls,5,7.125,Clean
RayleeInterpreter,2,7.125,Clean
RayleeSettings,3,7.125,Clean
VookaContext,6,7.125,Clean
VookaSeatedMode,6,7.125,Clean
VRPlugin,6,7.125,Clean
Program,3,7.125,Clean
SearchExtension,2,7.125,Clean
