Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
"MonoDictionary<TKey,TValue>",16,44,13,0,15,1312,112,0,0,0.5899999737739563,3,0
ShimEnumerator,1,4,4,0,4,46,4,0,0,0,1,1
Enumerator,6,15,11,0,6,192,21,0,0,0,1,4
KeyCollection,1,10,4,0,3,124,12,0,0,0.4000000059604645,1,0
ValueCollection,1,10,4,0,3,123,12,0,0,0.4000000059604645,1,0
SelectionSetComparer,1,2,0,0,2,47,3,0,0,0,3,0
IRangeSortedDictionary,0,2,0,0,0,18,2,1,0,-1,0,0
CssStyle,0,0,5,0,0,33,0,0,1,-1,0,2
DomFragment,0,4,3,0,4,107,4,0,5,-1,6,4
DomCData,1,5,6,0,3,137,5,0,2,0.6000000238418579,0,1
DomComment,1,5,7,0,3,172,5,0,2,0.6000000238418579,0,2
DomContainer<T>,1,11,8,0,7,334,15,0,3,1,3,0
DomDocumentType,3,8,10,0,4,301,11,0,2,0.5,1,1
CSSStyleDeclaration,2,32,13,0,21,916,64,0,1,0.4399999976158142,10,4
DomObject,3,47,52,0,37,1841,59,6,2,0.7400000095367432,13,2
DocumentInfo,0,0,0,0,0,20,0,0,0,-1,0,1
DomObject<T>,0,5,0,0,2,46,5,0,3,-1,0,0
DomDocument,2,26,17,0,23,866,34,1,4,0.7699999809265137,20,8
DomText,1,4,5,0,4,119,4,0,3,1,0,2
SelectionSet<T>,6,30,8,0,22,709,38,0,0,0.8299999833106995,1,0
ChildNodeList,1,20,5,0,13,508,38,0,2,0.3499999940395355,6,3
"RangeSortedDictionary<TKey,TValue>",3,17,5,0,16,526,29,0,1,0.4099999964237213,1,0
DomElement,4,61,34,0,26,2146,127,10,4,0.3400000035762787,27,8
SelectionSetOrder,0,0,0,0,0,15,0,0,0,-1,0,3
IDomIndexSimple,0,1,0,0,0,17,1,2,0,-1,0,4
DomIndexNone,0,8,3,0,8,164,8,0,1,-1,1,1
IDomIndexRanged,0,1,0,0,0,23,1,1,0,-1,0,1
IDomIndexQueue,0,0,1,0,0,9,0,1,0,-1,0,3
DomIndexSimple,1,8,2,0,8,230,19,0,1,0.25,5,1
