Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BeginConnectState,1,1,0,0,1,11,1,0,0,0,2,1
BeginFillInPortState,2,1,0,0,1,11,1,0,0,0,1,1
BluetoothFactory,2,30,2,0,13,281,44,4,0,0.4699999988079071,15,13
BluetoothRfcommStreamConnector,2,6,4,0,3,92,8,0,1,0,3,1
CommonBluetoothClient,2,12,10,0,7,185,13,3,1,0.25,7,0
CommonBluetoothInquiry<TInquiryEventItemType>,6,11,0,0,4,248,18,0,0,0.7300000190734863,5,0
InquiryTimeoutParams,2,2,0,0,1,25,2,0,0,0,0,1
CommonBluetoothListener,18,44,9,0,21,584,65,3,1,0.2300000041723251,12,0
AcceptedPort,2,1,0,2,1,15,3,0,0,0,1,1
RaiseAcceptParams,0,0,3,0,0,6,0,0,0,-1,0,1
CommonDiscoveryBluetoothClient,1,19,12,0,12,183,23,2,1,0.6299999952316284,4,2
CommonRfcommStream,23,59,15,0,9,1221,103,2,0,0.1000000014901161,9,16
State,0,0,0,0,0,8,0,0,0,-1,0,1
BeginReadParameters,3,1,0,3,1,14,1,0,0,0,0,1
FooSocketExceptions,0,2,0,0,0,13,2,0,0,-1,1,1
CommonSocketExceptions,7,4,0,0,0,44,4,0,0,0,1,6
WidcommSocketException,2,3,2,0,1,45,3,0,0,0,0,0
NoResultCodeWidcommSocketException,0,2,1,0,0,24,2,0,1,-1,0,0
DecoratorNetworkStream,1,12,9,0,9,214,15,2,0,0,1,1
SocketPair,3,4,1,0,0,64,5,0,0,0,0,1
DiscoDevsParams,6,2,0,6,2,37,2,1,0,0,1,9
IBluetoothClient,0,11,12,0,0,43,11,3,0,-1,2,10
IBluetoothDeviceInfo,0,12,10,0,0,45,12,3,0,-1,0,14
IBluetoothFactoryFactory,0,1,0,0,0,13,1,0,0,-1,0,1
IBluetoothListener,0,21,7,0,0,35,21,2,0,-1,3,3
IBluetoothRadio,0,1,15,0,0,24,1,4,0,-1,0,6
IBluetoothSecurity,0,7,0,0,0,153,7,3,0,-1,1,2
IL2CapClient,0,1,0,0,0,7,1,1,1,-1,0,2
IUsesBluetoothConnectorImplementsServiceLookup,0,2,0,0,0,47,2,1,0,-1,1,2
RfcommDecoratorNetworkStream,1,1,1,0,0,17,2,0,1,0,1,0
TimeoutDecorStream,1,7,7,0,6,96,9,0,0,0.4300000071525574,1,0
CommonSocketExceptions,7,4,0,0,0,44,4,0,0,1,1,0
WidcommSocketException,2,3,2,0,1,45,3,3,0,0,0,1
NoResultCodeWidcommSocketException,0,2,1,0,0,24,2,0,1,-1,0,2
IBtIf,0,23,0,0,0,76,23,2,0,-1,5,3
IRfCommIf,0,5,1,0,0,16,5,3,0,-1,1,10
BTM_SEC,0,0,0,0,0,14,0,0,0,-1,0,10
IRfcommPort,0,8,1,0,0,14,8,2,0,-1,2,10
PORT_RETURN_CODE,0,0,0,0,0,16,0,0,0,-1,0,9
PORT_EV,0,0,0,0,0,88,0,0,0,-1,0,2
ISdpDiscoveryRecordsBuffer,0,3,1,0,0,28,3,1,0,-1,0,6
ISdpService,0,6,0,0,0,9,6,1,0,-1,1,4
L2CapIf,1,6,1,0,5,59,9,0,1,0.3300000131130219,4,1
L2CapPort,5,15,1,0,9,195,23,0,1,0,12,2
L2CapDisconnectReason,0,0,0,0,0,23,0,0,0,-1,0,1
SdpDiscoveryRecordsBuffer,4,7,2,0,2,149,11,0,1,0.2899999916553497,5,0
NativeMethods,1,73,0,0,0,379,73,0,0,0.9700000286102295,5,8
SdpDiscoveryRecordsBufferBase,2,8,1,0,4,140,17,1,1,0.6200000047683716,11,0
SimpleInfo,4,2,0,0,1,26,2,0,0,0,0,2
SdpService,1,11,0,0,4,212,20,0,1,0.3600000143051147,9,4
SDP_RETURN_CODE,0,0,0,0,0,8,0,0,0,-1,0,3
DESC_TYPE,0,0,0,0,0,12,0,0,0,-1,0,4
WidcommBluetoothClient,4,12,2,0,4,159,13,0,2,0.75,9,1
WidcommBluetoothDeviceInfo,5,22,10,0,13,276,25,0,1,0.5899999737739563,9,3
WidcommBluetoothFactoryBase,1,13,0,0,0,48,13,1,1,0.8500000238418579,2,19
WidcommBluetoothFactory,6,25,1,0,1,298,35,0,2,0.1599999964237213,22,5
WidcommBluetoothListener,3,8,1,0,0,95,10,0,2,0,14,1
WidcommBluetoothRadio,4,2,16,0,1,243,10,0,1,1,8,1
WidcommBluetoothSecurity,1,9,0,0,7,79,11,0,1,0.6700000166893005,5,2
WidcommBtIf,12,37,0,0,24,792,62,0,1,0.1099999994039536,24,1
MY32FEET_AutoReconnectErrors,0,0,0,0,0,6,0,0,0,-1,0,0
LoadLibraryExFlags,0,0,0,0,0,10,0,0,0,-1,0,2
LibraryStatus,0,0,0,0,0,8,0,0,0,-1,0,1
