Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DiskErrorException,0,2,0,0,2,13,2,0,0,-1,0,1
DiskOutOfSpaceException,0,1,0,0,1,8,1,0,0,-1,0,0
ExitUtil,5,14,0,0,14,200,18,0,0,0,3,6
ExitException,2,1,0,1,1,13,1,0,0,0,0,1
HaltException,2,1,0,1,1,13,1,0,0,0,0,1
FileBasedIPList,3,4,0,0,3,94,8,0,1,0,1,1
GenericOptionsParser,3,14,0,0,9,432,45,0,0,0.2899999916553497,9,3
GenericsUtil,0,3,0,0,3,48,4,0,0,-1,0,4
"GSet<K,E>",1,6,0,1,6,69,6,0,0,1,0,0
GSetConstants,0,0,0,0,0,3,0,0,0,-1,0,0
"GSetByHashMap<K,E>",1,8,0,0,8,49,9,0,0,0,0,0
HeapSort,0,4,0,0,3,70,11,0,1,-1,2,1
HostsFileReader,5,11,0,0,11,202,16,0,0,0,0,1
HttpExceptionUtils,6,6,0,4,3,163,10,0,0,0,0,6
"IdentityHashStore<K,V>",4,11,0,0,8,181,23,0,0,0,1,0
Visitor,0,1,0,0,0,4,1,6,0,-1,0,1
IdGenerator,0,1,0,0,0,5,1,0,0,-1,0,0
IndexedSortable,0,2,0,0,0,12,2,3,0,-1,0,4
IndexedSorter,0,2,0,0,0,25,2,2,0,-1,2,2
IntrusiveCollection<E>,3,15,1,1,14,393,31,0,0,0.6000000238418579,2,0
Element,0,7,0,0,0,41,7,1,0,-1,0,3
_Element_89,3,9,0,0,9,70,9,0,1,0.4399999976158142,1,0
IntrusiveIterator,3,4,0,0,3,51,8,0,0,0,1,1
IPList,0,1,0,0,0,7,1,3,0,-1,0,2
JarFinder,0,5,0,0,2,168,17,0,0,-1,0,0
JvmPauseMonitor,13,10,0,0,8,221,16,0,0,0.699999988079071,2,3
GcTimes,2,4,0,0,1,29,4,0,0,0,0,1
Monitor,1,2,0,0,1,48,4,0,0,0,2,0
"LightWeightCache<K,E>",7,12,0,0,5,244,23,0,0,0.25,3,0
Entry,0,2,0,0,0,8,2,3,1,-1,0,2
_IComparer_71,0,2,0,0,2,13,2,0,0,-1,1,0
Clock,0,1,0,0,0,8,1,1,0,-1,0,1
_IEnumerator_243,1,4,0,0,4,27,4,0,0,0.5,0,1
"LightWeightGSet<K,E>",6,16,0,0,11,384,32,0,0,0.5,4,0
LinkedElement,0,2,0,0,0,8,2,3,0,-1,0,7
SetIterator,6,7,0,0,4,89,14,0,0,0,1,1
LimitInputStream,2,7,0,0,7,88,11,0,0,0,0,0
LineReader,9,16,0,0,10,409,19,0,0,0,2,3
LogAdapter,2,8,0,0,6,86,12,0,0,0,0,4
MachineList,7,5,0,2,5,209,17,0,0,0.6000000238418579,1,4
InetAddressFactory,1,1,0,0,1,11,1,0,0,0,0,2
MergeSort,3,3,0,0,2,74,11,0,0,0,1,2
