Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
FontConstants,19,0,0,19,0,80,0,0,0,-1,0,0
FontEncoding,9,20,0,2,15,341,42,2,0,0,6,21
FontIdentification,4,9,0,0,4,49,9,0,0,0.4399999976158142,1,5
FontMetrics,27,53,0,0,28,302,53,0,0,0.1500000059604645,1,27
FontNames,11,34,0,0,18,209,35,0,0,0.3199999928474426,2,18
FontProgram,11,34,0,2,17,248,39,5,0,0.3499999940395355,5,40
FontProgramDescriptor,9,12,0,0,10,76,12,0,0,0.1700000017881393,3,6
FontProgramDescriptorFactory,1,11,0,0,3,160,21,0,0,0,12,2
FontProgramFactory,2,29,0,0,24,528,45,0,0,0.1700000017881393,12,15
FontRegisterProvider,4,18,0,0,2,378,42,0,0,0,9,1
IExtraEncoding,0,3,0,0,0,28,3,4,0,-1,0,1
OpenTypeParser,17,40,0,0,18,1134,125,0,0,0,15,2
HeaderTable,7,0,0,0,0,15,0,0,0,-1,0,2
HorizontalHeader,10,0,0,0,0,21,0,0,0,-1,0,2
WindowsMetrics,29,0,0,0,0,59,0,0,0,-1,0,2
PostTable,4,0,0,0,0,18,0,0,0,-1,0,3
CmapTable,4,0,0,0,0,27,0,0,0,-1,0,2
PdfEncodings,21,6,0,14,5,696,38,0,0,0,4,82
WingdingsConversion,1,3,0,0,3,71,7,0,1,0.6700000166893005,0,0
Cp437Conversion,2,4,0,0,3,83,12,0,1,0,1,0
SymbolConversion,6,5,0,0,3,123,15,0,1,0,1,0
SymbolTTConversion,0,3,0,0,3,33,7,0,1,-1,0,0
Pfm2afm,45,11,0,0,1,755,37,0,0,0,3,1
TrueTypeCollection,5,7,0,0,6,92,11,0,0,0,7,2
TrueTypeFont,8,23,0,0,16,324,46,2,1,0,18,11
TrueTypeFontSubset,31,14,0,0,0,443,50,0,0,0,4,1
Type1Font,6,15,0,0,10,465,58,2,1,0.2700000107288361,11,9
Type1Parser,7,6,0,0,5,145,11,0,0,0,7,1
WoffConverter,1,4,0,0,2,177,21,0,0,0,2,2
TableDirectory,7,0,0,0,0,15,0,0,0,-1,0,1
AbstractCMap,4,15,0,0,5,128,23,5,0,0.4000000059604645,2,1
CMapByteCid,1,5,0,0,2,81,13,0,1,0,2,1
Cursor,2,1,0,2,1,10,1,0,0,0,0,1
CMapCidByte,3,5,0,0,3,51,9,0,1,0.4000000059604645,2,2
CMapCidUni,1,3,0,0,2,25,5,0,1,0,3,3
CMapContentParser,2,10,0,1,8,229,32,0,0,0.300000011920929,7,3
CMapLocationFromBytes,1,2,0,0,2,12,2,0,1,0,2,0
CMapLocationResource,0,1,0,0,1,11,2,0,1,-1,5,0
CMapObject,10,14,0,0,14,96,17,0,0,0,0,8
CMapParser,12,2,0,0,1,149,7,0,0,0,6,4
CMapToUnicode,2,15,0,1,9,138,25,0,1,0.1299999952316284,5,11
CMapUniCid,1,3,0,0,2,34,7,0,1,0,4,3
ICMapLocation,0,1,0,0,0,4,1,2,0,-1,0,3
FontDescriptorFlags,9,1,0,9,0,22,1,0,0,0,0,4
FontMacStyleFlags,7,1,0,7,0,25,1,0,0,0,0,3
FontResources,3,1,0,3,0,10,1,0,0,0,0,5
FontStretches,18,2,0,9,1,103,3,0,0,1,0,1
FontStyles,5,1,0,5,0,19,1,0,0,0,0,7
FontWeights,9,3,0,9,2,107,6,0,0,0.6700000166893005,0,3
StandardFontFamilies,5,1,0,5,0,57,1,0,0,0,0,3
StandardFonts,15,3,0,14,1,69,3,0,0,0.6700000166893005,0,41
TrueTypeCodePages,1,2,0,0,1,27,2,0,0,1,0,1
ActualTextIterator,2,9,2,0,7,117,16,0,0,0.2199999988079071,5,2
ContextualSubstRule,0,7,0,0,7,45,7,6,0,-1,0,5
ContextualSubTable,2,4,0,0,1,67,10,4,0,0,5,1
FeatureRecord,2,0,0,2,0,5,0,0,0,-1,0,2
FontReadingException,0,2,0,0,2,9,2,0,0,-1,0,0
Glyph,14,38,0,0,35,305,44,0,0,0,3,54
GlyphLine,5,26,0,3,23,385,60,0,0,0.07999999821186066,8,38
GlyphLinePart,4,3,0,4,3,25,3,0,0,0.6700000166893005,0,6
IGlyphLineFilter,0,1,0,0,0,3,1,1,0,-1,1,2
ActualText,1,2,0,1,2,18,4,0,0,0,0,3
GlyphPositioningTableReader,0,2,0,0,1,44,5,0,1,-1,6,1
GlyphSubstitutionTableReader,0,2,0,0,1,52,5,0,1,-1,8,1
GposAnchor,2,2,0,2,2,13,2,0,0,1,0,5
GposLookupType2,1,3,0,0,2,197,8,0,1,0,7,1
PairPosAdjustmentFormat1,1,4,0,0,2,65,10,0,1,0.5,8,1
PairPosAdjustmentFormat2,4,4,0,0,2,77,11,0,1,0.5,9,1
PairValueFormat,2,0,0,2,0,5,0,0,0,-1,1,2
GposLookupType4,1,3,0,0,2,89,15,0,1,0,9,1
MarkToBase,2,0,0,2,0,5,0,0,0,-1,0,1
GposLookupType5,1,3,0,0,2,100,17,0,1,0,9,1
MarkToLigature,2,0,0,2,0,6,0,0,0,-1,0,1
GposLookupType6,1,3,0,0,2,103,19,0,1,0,10,1
MarkToBaseMark,2,0,0,2,0,5,0,0,0,-1,0,1
GposValueRecord,4,0,0,4,0,9,0,0,0,-1,0,4
GsubLookupType1,1,4,0,0,3,64,9,0,1,0,5,1
GsubLookupType2,1,4,0,0,3,54,10,0,1,0,4,1
GsubLookupType3,1,4,0,0,3,52,9,0,1,0,4,1
GsubLookupType4,1,3,0,0,2,85,15,0,1,0,5,1
GsubLookupType5,1,6,0,0,1,142,16,1,1,0,11,1
GsubLookupType6,0,4,0,0,0,107,9,0,2,-1,7,1
LanguageRecord,3,0,0,3,0,7,0,0,0,-1,0,3
MarkTable,1,2,0,0,1,49,4,0,0,1,1,0
OpenTableLookup,3,7,0,0,4,73,9,11,0,0.4300000071525574,2,3
GlyphIndexer,3,2,0,3,2,29,6,0,0,0,3,10
OpenTypeFeature,2,3,0,0,3,33,5,0,0,0,4,1
OpenTypeFontTableReader,8,25,0,0,13,235,43,2,0,0.07999999821186066,13,26
OpenTypeGdefTableReader,7,4,0,0,4,64,12,0,0,0,2,4
OpenTypeScript,3,5,0,1,3,99,21,0,0,0,5,1
OtfClass,4,6,0,3,5,80,10,0,0,0.3300000131130219,4,10
OtfMarkRecord,2,0,0,2,0,5,0,0,0,-1,1,4
OtfReadCommon,0,12,0,0,11,193,34,0,0,-1,8,6
ScriptRecord,3,0,0,3,0,7,0,0,0,-1,1,2
SubstLookupRecord,2,0,0,0,0,5,0,0,0,-1,0,9
TagAndLocation,2,0,0,2,0,5,0,0,0,-1,0,3
SubTableLookup5Format1,1,2,0,0,1,41,3,0,1,0,2,0
SubstRuleFormat1,2,4,0,0,4,24,4,0,1,0,1,0
SubTableLookup5Format2,3,3,0,0,2,55,4,0,1,0,3,2
SubstRuleFormat2,3,4,0,0,4,28,4,0,1,0,3,0
SubTableLookup5Format3,1,2,0,0,1,40,3,0,1,0,4,0
SubstRuleFormat3,2,4,0,0,4,22,4,0,1,0,1,2
SubTableLookup6,0,4,0,0,1,54,11,3,1,-1,5,0
SubTableLookup6Format1,1,2,0,0,1,64,3,0,2,0,2,0
SubstRuleFormat1,4,8,0,0,8,47,8,0,1,0,1,0
SubTableLookup6Format2,5,3,0,0,2,83,4,0,2,0,3,2
SubstRuleFormat2,5,8,0,0,8,50,8,0,1,0,3,1
SubTableLookup6Format3,1,2,0,0,1,63,3,0,2,0,4,0
SubstRuleFormat3,4,8,0,0,8,45,8,0,1,0,1,2
Buffer,4,11,0,0,10,81,15,0,0,0,2,3
FontCompressionException,15,3,0,15,3,42,3,0,0,1,0,4
JavaUnsignedUtil,0,5,0,0,5,22,5,0,0,-1,0,6
Round,0,2,0,0,2,18,4,0,0,-1,0,1
StoreBytes,0,2,0,0,2,17,2,0,0,-1,1,1
TableTags,9,1,0,9,0,104,1,0,0,0,0,1
VariableLength,0,2,0,0,2,53,7,0,0,-1,3,1
Woff2Common,5,2,0,5,2,86,7,0,0,1,1,2
Point,3,1,0,3,1,18,1,0,0,0,0,1
Table,7,1,0,7,1,19,1,0,0,0,1,2
Woff2Converter,0,2,0,0,2,21,3,0,0,-1,4,3
Woff2Dec,17,22,0,0,2,1213,136,0,0,0.09000000357627869,23,1
TtcFont,4,0,0,4,0,18,0,0,0,-1,0,2
Woff2Header,8,0,0,8,0,20,0,0,0,-1,2,1
Woff2FontInfo,5,0,0,5,0,11,0,0,0,-1,0,2
RebuildMetadata,3,0,0,0,0,12,0,0,0,-1,1,1
TableChecksumInfo,2,3,0,2,3,25,5,0,0,0,0,1
CompositeGlyphInfo,2,1,0,2,1,10,1,0,0,0,0,1
Checksums,2,1,0,2,1,10,1,0,0,0,0,1
StreamInfo,2,1,0,2,1,10,1,0,0,0,0,1
Woff2MemoryOut,3,4,0,0,4,29,5,0,1,0,1,0
Woff2Out,0,3,0,0,0,11,3,1,0,-1,0,2
BmpImageData,2,4,0,0,2,27,4,0,1,0,0,2
BmpImageHelper,23,24,0,0,1,1260,92,0,0,0,7,1
BmpParameters,21,1,0,0,1,48,1,0,0,0,1,1
DrawingImageFactory,0,3,0,0,3,197,12,0,0,-1,2,1
GifImageData,5,11,0,0,5,72,11,0,0,0.3600000143051147,4,3
GifImageHelper,1,15,0,0,2,535,50,0,0,0,8,1
GifParameters,33,1,0,0,1,88,1,0,0,0,1,1
ImageData,27,50,0,0,46,299,57,6,0,0.3600000143051147,8,36
ImageDataFactory,10,38,0,0,32,591,74,0,0,0.1299999952316284,17,43
ImageType,0,0,0,0,0,13,0,0,0,-1,0,20
Jbig2ImageData,1,6,0,0,4,49,6,0,1,0.6700000166893005,7,1
Jbig2ImageHelper,1,2,0,0,2,63,5,0,0,1,9,1
Jpeg2000ImageData,1,4,0,0,2,61,4,0,1,1,3,2
Parameters,5,0,0,5,0,11,0,0,0,-1,0,3
ColorSpecBox,1,6,0,0,5,27,6,0,0,0.8299999833106995,0,2
Jpeg2000ImageHelper,12,5,0,0,1,193,22,0,0,0,8,2
Jpeg2000Box,2,0,0,0,0,5,0,0,0,-1,0,1
ZeroBoxSizeException,0,1,0,0,0,5,1,0,0,-1,0,0
JpegImageData,0,2,0,0,0,9,2,0,1,-1,0,0
JpegImageHelper,13,5,0,0,1,349,56,0,0,0,7,2
PngImageData,0,2,0,0,0,9,2,0,1,-1,0,2
PngImageHelper,18,20,0,11,4,989,82,0,0,0.1000000014901161,16,1
PngParameters,37,1,0,0,0,80,1,0,0,0,3,1
RawImageData,8,5,0,7,3,62,5,3,1,0.800000011920929,1,5
RawImageHelper,0,5,0,0,1,135,20,0,0,-1,4,6
TiffImageData,3,10,0,0,6,69,10,0,2,0.300000011920929,6,2
TiffImageHelper,0,8,0,0,1,742,81,0,0,-1,23,1
TiffParameters,3,1,0,0,0,12,1,0,0,0,1,1
IOException,101,7,1,99,6,282,8,0,0,0.7099999785423279,0,44
IOExtensions,0,26,0,0,26,151,34,0,0,-1,0,0
LogMessageConstant,119,0,0,119,0,243,0,0,0,-1,0,125
ArrayRandomAccessSource,1,5,0,0,5,40,10,0,1,0,0,1
ByteArrayOutputStream,0,3,0,0,3,18,3,0,0,-1,0,15
ByteBuffer,3,20,0,0,18,175,31,0,0,0.1500000059604645,2,27
ByteUtils,5,10,0,0,5,259,40,0,0,0.300000011920929,3,18
DeflaterOutputStream,0,4,0,0,3,24,5,0,1,-1,1,5
GetBufferedRandomAccessSource,4,5,0,0,5,52,7,0,1,0,1,0
GroupedRandomAccessSource,3,9,0,0,5,213,23,0,1,0,3,1
SourceEntry,4,2,0,0,2,32,2,0,0,0,1,1
IndependentRandomAccessSource,1,5,0,0,5,33,5,0,1,0.4000000059604645,1,1
IRandomAccessSource,0,4,0,0,0,31,4,10,0,-1,0,17
OutputStream<T>,4,31,5,0,30,289,37,0,0,0.5799999833106995,4,0
PdfTokenizer,19,40,0,12,35,909,78,0,0,0.07999999821186066,5,22
TokenType,0,0,0,0,0,15,0,0,0,-1,0,8
ReusableRandomAccessSource,1,5,0,0,5,40,10,0,1,0,1,0
RAFRandomAccessSource,2,5,0,0,5,63,9,0,1,0,0,1
RandomAccessFileOrArray,5,37,0,1,36,592,64,0,0,0,4,47
RandomAccessSourceFactory,3,12,0,0,10,255,17,0,0,0.4199999868869781,8,24
RASInputStream,2,7,5,0,7,100,10,0,0,0.5699999928474426,1,2
ThreadSafeRandomAccessSource,2,5,0,0,5,36,5,0,1,0,1,1
WindowRandomAccessSource,3,6,0,0,6,66,8,0,1,0,1,0
ArrayUtil,0,8,0,0,7,57,15,0,0,-1,0,8
AtomicLong,1,5,0,0,5,23,5,0,0,0.4000000059604645,0,7
DateTimeUtil,0,4,0,0,4,20,5,0,0,-1,0,11
DecimalFormatUtil,0,1,0,0,1,5,1,0,0,-1,0,3
EncodingUtil,1,7,0,1,6,75,15,0,0,1,2,30
EnumUtil,0,1,0,0,1,9,2,0,0,-1,0,1
ExceptionUtil,0,2,0,0,1,8,2,0,0,-1,0,1
FileUtil,1,17,0,0,17,127,27,0,0,0.8799999952316284,2,13
IFileFilter,0,1,0,0,0,3,1,6,0,-1,0,1
FilterReader,2,4,0,0,2,33,5,1,0,0,0,1
FilterUtil,0,4,0,0,4,58,5,0,0,-1,1,2
GenericArray<T>,1,3,0,0,3,19,3,0,0,0,0,0
HashCode,2,13,0,1,13,112,13,0,0,0,1,3
