Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
VideoSourceProvider,0,5,0,0,4,71,6,0,2,-1,6,0
WaitingCommandProvider,0,6,0,0,2,58,11,0,2,-1,5,0
WorkstationProvider,0,7,0,0,3,74,10,0,2,-1,7,0
UnitWork,1,2,1,0,2,40,3,0,1,1,5,2
YangChenTongLogProvider,0,4,0,0,2,37,6,0,2,-1,5,0
YCTBlacklistProvider,0,4,0,0,2,33,8,0,2,-1,4,0
YCTPaymentRecordProvider,0,4,0,0,2,40,14,0,2,-1,5,0
AlarmBll,1,3,0,0,3,30,3,0,0,0,5,11
APMBll,1,7,0,0,7,102,11,0,0,0,6,12
APMChectOutRecordBll,1,4,0,0,4,31,4,0,0,0,5,1
APMRefundRecordBll,1,4,0,0,4,34,4,0,0,0,5,2
CardBll,2,59,0,0,57,1791,149,0,0,0.05000000074505806,45,58
CardChargeRecordBll,1,2,0,0,2,34,3,0,0,0,6,1
CardPaymentRecordBll,2,8,0,0,8,107,11,0,0,0,11,15
CardEventBll,1,10,0,0,10,164,17,0,0,0,11,14
DataBaseConnectionChecker,6,5,2,1,4,186,14,0,0,0,4,1
DatabaseUpgrader,0,1,0,0,1,20,2,0,0,-1,0,2
DatetimeSyncService,4,7,1,0,4,133,12,0,0,0.4300000071525574,5,1
SystemTime,8,0,0,8,0,12,0,0,0,-1,0,1
DeptBll,2,7,0,0,7,60,9,0,0,0,6,4
EntranceBll,1,10,0,0,10,96,11,0,0,0,5,13
ETCPaymentRecordBll,1,5,0,0,5,65,6,0,0,0,6,1
FreeAuthorizationLogBll,1,5,0,0,5,49,6,0,0,0,6,3
HostStandbySettingBll,1,3,0,0,3,41,3,0,0,0,4,2
OperatorBll,1,11,0,0,11,175,22,0,0,0,8,17
OperatorSettleBLL,2,27,0,0,8,565,92,0,0,0,37,3
ParkBll,2,12,0,0,12,196,18,0,0,0,11,11
ParkBuffer,2,9,2,0,9,209,27,0,0,0,6,35
APMLogBll,1,4,0,0,4,30,4,0,0,0,5,1
ParkingParameterDataBufferBll,1,3,0,0,3,105,5,0,0,0.6700000166893005,14,1
PREBusinessesBll,2,9,0,0,9,68,11,0,0,0,7,3
